subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,practiceLambda,trialLambda,instructedLambda,drawnRed,reportedRed,inferredRed,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime
sona-37087,unif,over,practice,2,receiver,100,0.5,5,21.9,honest,72,77,80,-8,8,-8,-5,5547.268158618541,1680916215321,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",77,70,1680916215321,0
sona-39099,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_small,34,38,30,-4,0,19,-23,5489.570729968323,1680816394961,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",38,38,1680816394961,0
sona-46081,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_small,46,48,43,-3,0,-3,-6,5200.780818426914,1681089175501,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",48,68,1681089175502,0
sona-47556,unif,over,practice,2,receiver,100,0.5,5,8.1,honest,9,11,40,-31,31,-31,31,5730.509718619139,1678908592346,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",11,11,1678908592346,0
sona-44680,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_small,33,38,30,-3,0,-3,-11,5662.672529960877,1680929267703,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",38,38,1680929267704,0
sona-46469,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_small,62,68,42,-20,0,-20,-15,6588.479660049145,1680894175119,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",68,57,1680894175119,0
sona-32728,unif,over,practice,2,receiver,100,0.5,5,21.9,honest,29,33,75,-46,46,-46,43,6179.641285033153,1680821568737,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",33,33,1680821568737,0
sona-37316,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_big,49,51,55,-6,6,-6,1,5189.352673532116,1681164782022,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",51,51,1681164782022,0
sona-31738,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_small,27,31,30,-3,3,2,-2,7418.83078527432,1680751576161,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",31,31,1680751576161,0
sona-46310,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_small,39,44,55,-16,16,-6,6,6426.169735316628,1680745299483,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",44,44,1680745299483,0
sona-46185,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_small,37,45,50,-13,13,-13,4,5659.623460732818,1681160387381,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",45,52,1681160387381,0
sona-42345,unif,over,practice,2,receiver,100,0.5,5,8.1,honest,54,62,44,-10,0,-10,-5,7246.052576863574,1680758387052,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",62,62,1680758387052,0
sona-37091,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_big,66,70,65,-1,0,-1,-1,5793.203019716082,1680745959657,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",70,70,1680745959657,0
sona-44550,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_big,19,23,23,-4,4,-4,0,5443.763761187136,1678904070818,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",23,23,1678904070818,0
sona-45087,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_big,45,53,53,-8,8,-8,-8,5384.202872174008,1680736190925,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",53,53,1680736190925,0
