subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,practiceLambda,trialLambda,instructedLambda,sd,drawnRed,reportedRed,inferredRed,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime
sona-32905,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,70,53,37,0,-33,0,-33,2168.8639798643917,1682397502568,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",70,70,1682397502568,0
sona-36287,unif,over,practice,1,sender,100,0.5,5,0.3,honest,8.1,43,46,40,0,-3,0,-3,2187.588031529182,1682382047395,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",43,43,1682382047395,0
sona-44507,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,8.1,58,61,64,6,-6,6,-6,2525.5906926344283,1682024748544,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",58,58,1682024748544,0
sona-37140,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,35,25,16,0,-19,0,-19,2189.767299262511,1682374723511,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",35,35,1682374723511,0
sona-39762,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,8.1,51,59,53,2,-2,2,-2,2715.7077394839216,1682395342358,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",51,51,1682395342359,0
sona-33504,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,8.1,53,53,47,0,-6,0,-6,2367.1996407617435,1682385183930,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",53,20,1682385183931,0
sona-42902,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,71,59,66,0,-5,0,-5,2552.531700573817,1682294767310,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",71,71,1682294767310,0
sona-45269,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,8.1,66,70,56,0,-10,0,-10,2980.6722284175194,1682194590987,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",66,66,1682194590988,0
sona-41461,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,59,59,47,0,-12,0,-12,2553.056442368974,1682380892863,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",59,49,1682380892864,0
sona-36049,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,54,63,58,4,-4,4,-4,2107.8714862560455,1682148026672,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",54,54,1682148026673,0
sona-45567,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,82,75,66,0,-16,0,-16,2823.884364529561,1682383234233,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",82,82,1682383234234,0
sona-39095,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,47,48,36,0,-11,0,-11,3223.8180800152286,1682286705521,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",47,47,1682286705521,0
sona-45988,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,42,41,50,8,-8,8,-8,2717.350849428137,1682259632350,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",42,42,1682259632350,0
sona-43466,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,60,59,46,0,-14,0,-14,2338.3287487705384,1682283080646,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",60,59,1682283080647,0
sona-40572,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,43,42,35,0,-8,0,-8,2721.1178937948844,1682401144054,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",43,9,1682401144055,0
sona-41676,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,59,58,34,0,-25,0,-25,2065.798919517826,1682226749092,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",59,51,1682226749093,0
sona-40965,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,37,43,39,2,-2,2,-2,2232.480220692966,1682153306139,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",37,37,1682153306139,0
sona-42688,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,54,52,48,0,-6,0,-6,2477.704180590859,1682209501909,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",54,51,1682209501909,0
sona-40877,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,53,53,45,0,-8,0,-8,2181.0977194575157,1682400454271,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",53,53,1682400454271,0
sona-36249,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,58,62,58,0,0,0,0,2305.572621657904,1682046191766,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",58,58,1682046191767,0
sona-48505,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,70,62,63,0,-7,0,-7,2865.3060165353963,1682029423707,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",70,5,1682029423708,0
sona-48529,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,23,23,29,6,-6,6,-6,2326.526166235584,1682230889559,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",23,72,1682230889560,0
sona-45874,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,21,26,6,0,-15,0,-15,2968.080244417614,1682038801268,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",21,21,1682038801268,0
sona-40699,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,56,56,39,0,-17,0,-17,2656.0169376969698,1682031572781,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",56,56,1682031572782,0
sona-42309,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,77,77,68,0,-9,0,-9,2838.844600006866,1682385100598,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",77,77,1682385100599,0
sona-45141,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,63,70,71,8,-8,8,-8,2210.773652393599,1682052463403,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",63,63,1682052463404,0
sona-48289,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,89,92,92,3,-3,3,-3,2822.5318763583755,1682358344307,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",89,89,1682358344307,0
sona-36879,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,30,15,20,0,-10,0,-10,3191.717825611161,1682181436773,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",30,30,1682181436774,0
sona-37012,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,37,50,45,8,-8,8,-8,2086.138446868365,1682285226439,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",37,36,1682285226440,0
sona-41913,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,76,76,76,0,0,0,0,2967.933319330482,1682374249338,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",76,76,1682374249339,0
sona-36087,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,39,30,21,0,-18,0,-18,2815.0896807147938,1682040908909,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",39,39,1682040908909,0
sona-39364,unif,over,practice,1,sender,100,0.5,5,0.3,honest,8.1,45,37,36,0,-9,0,-9,2463.158131840979,1682375249851,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",45,45,1682375249851,0
sona-40586,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,19,14,5,0,-14,0,-14,2741.510065958804,1682383893268,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",19,19,1682383893269,0
sona-43943,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,72,79,76,4,-4,4,-4,2598.616241489231,1682202854611,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",72,72,1682202854612,0
sona-48533,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,8.1,42,60,63,21,-21,21,-21,2152.1002216403963,1682309193570,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",42,48,1682309193571,0
sona-31620,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,52,46,49,0,-3,0,-3,2400.3247297870385,1682278640722,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",52,48,1682278640723,0
sona-37824,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,39,39,35,0,-4,0,-4,3208.299064990018,1682309629110,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",39,39,1682309629111,0
sona-39247,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,72,63,63,0,-9,0,-9,2637.445588781838,1682292071543,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",72,72,1682292071544,0
sona-43765,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,8.1,44,44,43,0,-1,0,-1,3098.191995702653,1682214690051,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",44,44,1682214690052,0
sona-47589,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,77,23,20,0,-57,0,-57,2886.308343664782,1682296289063,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",77,77,1682296289064,0
sona-41298,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,43,46,37,0,-6,0,-6,2186.529392912814,1682128109691,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",43,43,1682128109691,0
sona-46048,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,8.1,41,45,46,5,-5,5,-5,2468.848425253921,1682034304768,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",41,41,1682034304768,0
sona-31505,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,39,36,25,0,-14,0,-14,2226.7288280471266,1682347365919,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",39,39,1682347365920,0
sona-42210,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,8.1,41,29,23,0,-18,0,-18,2301.381908595278,1682232186079,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",41,51,1682232186079,0
sona-40738,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,58,55,54,0,-4,0,-4,2904.8266962712787,1682055000985,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",58,58,1682055000985,0
sona-39524,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,34,16,14,0,-20,0,-20,2939.9300538216,1682310684563,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",34,34,1682310684563,0
sona-43417,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,49,49,41,0,-8,0,-8,2116.255741844545,1682323712727,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",49,49,1682323712728,0
sona-43010,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,8.1,74,48,49,0,-25,0,-25,2070.603437206567,1682366732378,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",74,74,1682366732378,0
sona-47116,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,73,54,38,0,-35,0,-35,2171.5960912754,1682361744429,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",73,73,1682361744429,0
sona-39334,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,75,60,55,0,-20,0,-20,2492.151758955432,1682053926867,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",75,20,1682053926867,0
sona-42504,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,6,25,22,16,-16,16,-16,2649.5885265357356,1682024872893,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",6,6,1682024872894,0
sona-45845,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,8.1,71,43,45,0,-26,0,-26,3050.5658597868705,1682397899560,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",71,43,1682397899560,0
sona-45516,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,34,46,38,4,-4,4,-4,2722.4829745109073,1682187650659,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",34,46,1682187650660,0
sona-44756,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,72,72,76,4,-4,4,-4,2902.4312062949766,1682053433555,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",72,72,1682053433556,0
sona-45002,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,51,51,38,0,-13,0,-13,2100.473169289482,1682359897705,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",51,51,1682359897705,0
sona-38162,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,45,45,42,0,-3,0,-3,3175.1141250829573,1682394216533,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",45,55,1682394216534,0
sona-37917,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,8.1,71,100,85,14,-14,14,-14,2627.3438450630415,1682230215555,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",71,71,1682230215556,0
sona-45690,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,51,51,50,0,-1,0,-1,3040.906272726088,1682108806708,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",51,51,1682108806708,0
sona-40216,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,8.1,72,61,62,0,-10,0,-10,2312.616270947561,1682060789853,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",72,13,1682060789853,0
sona-40847,unif,over,practice,1,sender,100,0.5,5,21.9,honest,8.1,77,75,68,0,-9,0,-9,2513.913489519102,1682367586716,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",77,25,1682367586716,0
sona-42591,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,8.1,58,52,34,0,-24,0,-24,2897.986026410167,1682223704226,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",58,48,1682223704227,0
sona-41128,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,8.1,92,51,38,0,-54,0,-54,2513.4721746567557,1682398376320,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",92,9,1682398376320,0
sona-44536,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,44,46,32,0,-12,0,-12,2575.9111875680655,1682298680532,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",44,46,1682298680532,0
sona-36609,unif,over,practice,1,sender,100,0.5,5,8.1,honest,8.1,52,57,50,0,-2,0,-2,2587.1811436109083,1682275002275,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",52,53,1682275002276,0
sona-48515,unif,over,practice,1,sender,100,0.5,5,0.3,honest,8.1,9,0,0,0,-9,0,-9,2758.054279732748,1682056852625,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",9,9,1682056852626,0
sona-45798,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,47,40,41,0,-6,0,-6,2973.8706273211246,1682375340883,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",47,48,1682375340884,0
sona-40719,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,8.1,50,62,60,10,-10,10,-10,2899.6845821103934,1682304240104,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",50,50,1682304240105,0
sona-44062,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,17,26,28,11,-11,11,-11,2536.2648555798246,1682377371262,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",17,17,1682377371263,0
sona-40975,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,8.1,40,49,35,0,-5,0,-5,2277.596378499621,1682385582243,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",40,40,1682385582244,0
sona-45274,unif,over,practice,1,sender,100,0.5,5,0.3,honest,8.1,38,43,38,0,0,0,0,2596.671586238438,1682372148930,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",38,38,1682372148931,0
sona-32963,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,8.1,50,40,33,0,-17,0,-17,2122.233762626361,1682070203643,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",50,50,1682070203644,0
sona-38416,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_big,8.1,54,58,61,7,-7,7,-7,2484.366715743835,1682032428618,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",54,47,1682032428619,0
