subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,practiceLambda,trialLambda,instructedLambda,sd,drawnRed,reportedRed,inferredRed,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime
sona-32905,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_big,8.1,13,13,15,-2,2,-2,-31,6385.846895277764,1682397570968,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",13,13,1682397570968,0
sona-36287,unif,over,practice,2,receiver,100,0.5,5,0.3,honest,8.1,17,24,26,-9,9,-9,6,5907.081656216996,1682382102912,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",24,24,1682382102912,0
sona-44507,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_small,8.1,52,56,58,-6,6,0,0,7359.046854102371,1682024821461,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",56,56,1682024821461,0
sona-37140,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_big,8.1,78,82,71,-7,0,-7,-19,6625.354004733895,1682374765716,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",82,82,1682374765716,0
sona-39762,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_small,8.1,55,57,40,-15,0,-13,-2,6374.820319773413,1682395397737,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",57,57,1682395397737,0
sona-33504,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_small,8.1,24,43,40,-16,16,-16,10,6820.350881068951,1682385207146,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",43,43,1682385207146,0
sona-42902,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_big,8.1,43,41,48,-5,5,-5,0,6819.25192449938,1682294795952,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",41,48,1682294795952,0
sona-45269,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_small,8.1,65,70,66,-1,1,-1,-9,6300.606806382968,1682194649103,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",70,70,1682194649103,0
sona-41461,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_small,8.1,71,62,59,-12,0,-12,-12,5361.200263922705,1682380946952,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",62,62,1682380946952,0
sona-36049,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_big,8.1,54,57,58,-4,4,0,0,6952.20126496739,1682148080039,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",57,57,1682148080039,0
sona-45567,unif,over,practice,2,receiver,100,0.5,5,8.1,dishonest_big,8.1,31,47,54,-23,23,-23,7,6009.827677787555,1682383290616,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",47,46,1682383290616,0
sona-39095,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_small,8.1,69,83,78,-9,9,-9,-2,6455.207013419147,1682286739304,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",83,83,1682286739304,0
sona-45988,unif,over,practice,2,receiver,100,0.5,5,8.1,honest,8.1,29,45,41,-12,12,-4,4,7318.542007421154,1682259689947,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",45,43,1682259689947,0
sona-43466,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_small,8.1,63,62,13,-50,0,-50,-14,6948.174495900759,1682283144405,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",62,52,1682283144405,0
sona-40572,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_small,8.1,42,40,40,-2,0,-2,-8,5684.117695763521,1682401168386,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",40,40,1682401168386,0
sona-41676,unif,over,practice,2,receiver,100,0.5,5,21.9,dishonest_big,8.1,37,49,37,0,0,0,-25,5503.246644332554,1682226808320,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",49,49,1682226808320,0
sona-40965,unif,over,practice,2,receiver,100,0.5,5,8.1,honest,8.1,83,87,56,-27,0,-25,-2,7485.420834866683,1682153335496,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",87,87,1682153335496,0
sona-42688,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_big,8.1,41,46,40,-1,0,-1,-6,5376.803774510347,1682209564380,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",46,46,1682209564380,0
sona-40877,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_big,8.1,44,50,57,-13,13,-13,5,7308.791360652719,1682400501388,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",50,50,1682400501388,0
sona-36249,unif,over,practice,2,receiver,100,0.5,5,0.3,dishonest_big,8.1,51,53,55,-4,4,-4,4,7474.1611117877965,1682046232210,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",53,53,1682046232210,0
sona-48505,unif,over,practice,2,receiver,100,0.5,5,21.9,honest,8.1,29,31,10,-19,0,-19,-7,5671.718748646033,1682029472187,"How many <b class=""r"">red</b> marbles did your opponent report drawing?",31,31,1682029472188,0
