subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,practiceLambda,trialLambda,instructedLambda,drawnRed,reportedRed,inferredRed,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime
sona-37087,unif,over,practice,1,sender,100,0.5,5,21.9,honest,70,62,57,0,-13,0,-13,2160.8471816668316,1680916175860,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",70,70,1680916175860,0
sona-39099,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,7,34,30,23,-23,23,-23,2624.2104148459557,1680816362035,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",7,7,1680816362035,0
sona-46081,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_small,69,69,63,0,-6,0,-6,2263.076967691006,1681089019268,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",69,67,1681089019269,0
sona-47556,unif,over,practice,1,sender,100,0.5,5,8.1,honest,38,44,38,0,0,0,0,2585.8998184056627,1678908534030,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",38,43,1678908534030,0
sona-44680,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,40,38,29,0,-11,0,-11,2175.8256572588193,1680929197440,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",40,40,1680929197440,0
sona-46469,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,72,63,57,0,-15,0,-15,2171.961491829462,1680894087846,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",72,73,1680894087846,0
sona-32728,unif,over,practice,1,sender,100,0.5,5,21.9,honest,76,80,73,0,-3,0,-3,3017.299578727637,1680821505144,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",76,76,1680821505144,0
sona-37316,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,37,37,32,0,-5,0,-5,2582.805863810367,1681164749164,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",37,37,1681164749164,0
sona-31738,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,44,51,49,5,-5,5,-5,2104.2777590992714,1680751532459,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",44,44,1680751532460,0
sona-46310,unif,over,practice,1,sender,100,0.5,5,21.9,dishonest_small,49,66,59,10,-10,10,-10,2847.699127179513,1680745210173,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",49,49,1680745210173,0
sona-46185,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_small,61,55,52,0,-9,0,-9,2242.099864694115,1681160340552,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",61,62,1681160340553,0
sona-42345,unif,over,practice,1,sender,100,0.5,5,8.1,honest,83,83,78,0,-5,0,-5,2569.0946715295804,1680758333131,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",83,50,1680758333132,0
sona-37091,unif,over,practice,1,sender,100,0.5,5,8.1,dishonest_big,35,40,34,0,-1,0,-1,2378.620034366535,1680745921146,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",35,35,1680745921147,0
sona-44550,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,47,47,43,0,-4,0,-4,2327.0040692736,1678904043215,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",47,50,1678904043215,0
sona-45087,unif,over,practice,1,sender,100,0.5,5,0.3,dishonest_big,81,75,65,0,-16,0,-16,3241.6234182949206,1680736160353,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)?",81,81,1680736160353,0
